Round;Time death (s);Killer;Killer side;Killer team;Killer blinded;Victim;Victim side;Victim team;Victim_blinded;Weapon;Headshot;Crouching;Trade_kill
21;41,48;naboj1;T;UKF E-Sports ;FALSE;.Not1ce;CT;UCM Tedi Echo;FALSE;AK-47;FALSE;FALSE;FALSE
21;52,48;NepriateL;T;UKF E-Sports ;FALSE;s666s;CT;UCM Tedi Echo;FALSE;AK-47;FALSE;FALSE;FALSE
21;52,97;Addixx;CT;UCM Tedi Echo;FALSE;NepriateL;T;UKF E-Sports ;FALSE;M4A1-S;FALSE;FALSE;TRUE
21;53,95;zuluuu;T;UKF E-Sports ;FALSE;Addixx;CT;UCM Tedi Echo;FALSE;AK-47;FALSE;FALSE;TRUE
22;18,91;Addixx;CT;UCM Tedi Echo;FALSE;naboj1;T;UKF E-Sports ;FALSE;MP9;FALSE;FALSE;FALSE
22;31,78;NepriateL;T;UKF E-Sports ;FALSE;.Not1ce;CT;UCM Tedi Echo;FALSE;AK-47;FALSE;FALSE;FALSE
22;36,52;Newstartik;T;UKF E-Sports ;FALSE;Skalw0;CT;UCM Tedi Echo;FALSE;AK-47;TRUE;FALSE;FALSE
22;41,55;NiT0.;T;UKF E-Sports ;FALSE;s666s;CT;UCM Tedi Echo;FALSE;AK-47;TRUE;TRUE;FALSE
22;43,73;Addixx;CT;UCM Tedi Echo;FALSE;NiT0.;T;UKF E-Sports ;FALSE;MP9;FALSE;FALSE;TRUE
22;50,95;zuluuu;T;UKF E-Sports ;FALSE;Kolardo;CT;UCM Tedi Echo;FALSE;AK-47;FALSE;FALSE;FALSE
22;88,52;NepriateL;T;UKF E-Sports ;FALSE;Addixx;CT;UCM Tedi Echo;FALSE;AK-47;FALSE;FALSE;FALSE
23;23,14;NiT0.;T;UKF E-Sports ;FALSE;s666s;CT;UCM Tedi Echo;FALSE;AK-47;FALSE;FALSE;FALSE
23;23,55;Addixx;CT;UCM Tedi Echo;FALSE;NiT0.;T;UKF E-Sports ;FALSE;M4A1-S;FALSE;FALSE;TRUE
23;24,42;Addixx;CT;UCM Tedi Echo;FALSE;NepriateL;T;UKF E-Sports ;FALSE;M4A1-S;FALSE;TRUE;FALSE
23;25,09;zuluuu;T;UKF E-Sports ;FALSE;Addixx;CT;UCM Tedi Echo;FALSE;AK-47;FALSE;FALSE;TRUE
23;50,33;naboj1;T;UKF E-Sports ;FALSE;.Not1ce;CT;UCM Tedi Echo;FALSE;AWP;FALSE;FALSE;FALSE
23;50,5;Newstartik;T;UKF E-Sports ;FALSE;Skalw0;CT;UCM Tedi Echo;FALSE;AK-47;FALSE;FALSE;FALSE
23;55,39;zuluuu;T;UKF E-Sports ;FALSE;Kolardo;CT;UCM Tedi Echo;FALSE;AK-47;FALSE;FALSE;FALSE
24;16,75;Skalw0;CT;UCM Tedi Echo;FALSE;NepriateL;T;UKF E-Sports ;FALSE;Desert Eagle;TRUE;FALSE;FALSE
24;28,68;s666s;CT;UCM Tedi Echo;FALSE;NiT0.;T;UKF E-Sports ;FALSE;MP9;TRUE;FALSE;FALSE
24;50,38;Kolardo;CT;UCM Tedi Echo;FALSE;zuluuu;T;UKF E-Sports ;FALSE;SSG 08;TRUE;FALSE;FALSE
24;61,26;Skalw0;CT;UCM Tedi Echo;FALSE;Newstartik;T;UKF E-Sports ;FALSE;Desert Eagle;FALSE;FALSE;FALSE
24;76,19;s666s;CT;UCM Tedi Echo;FALSE;naboj1;T;UKF E-Sports ;FALSE;MP9;FALSE;FALSE;FALSE
25;35;zuluuu;T;UKF E-Sports ;FALSE;Skalw0;CT;UCM Tedi Echo;FALSE;AK-47;TRUE;FALSE;FALSE
25;50,73;naboj1;T;UKF E-Sports ;TRUE;s666s;CT;UCM Tedi Echo;FALSE;AK-47;FALSE;FALSE;FALSE
25;51,56;zuluuu;T;UKF E-Sports ;FALSE;.Not1ce;CT;UCM Tedi Echo;FALSE;AK-47;FALSE;FALSE;FALSE
25;51,78;Addixx;CT;UCM Tedi Echo;FALSE;naboj1;T;UKF E-Sports ;TRUE;AK-47;FALSE;FALSE;TRUE
25;62,44;Kolardo;CT;UCM Tedi Echo;FALSE;NepriateL;T;UKF E-Sports ;FALSE;AK-47;TRUE;FALSE;FALSE
25;62,89;Addixx;CT;UCM Tedi Echo;FALSE;Newstartik;T;UKF E-Sports ;FALSE;AK-47;FALSE;FALSE;FALSE
25;63,89;zuluuu;T;UKF E-Sports ;FALSE;Kolardo;CT;UCM Tedi Echo;FALSE;AK-47;FALSE;TRUE;TRUE
25;79,88;Addixx;CT;UCM Tedi Echo;FALSE;zuluuu;T;UKF E-Sports ;FALSE;AK-47;FALSE;FALSE;FALSE
25;105,19;NiT0.;T;UKF E-Sports ;FALSE;Addixx;CT;UCM Tedi Echo;FALSE;AK-47;TRUE;FALSE;FALSE
26;20,81;Skalw0;CT;UCM Tedi Echo;FALSE;NepriateL;T;UKF E-Sports ;FALSE;M4A1-S;FALSE;TRUE;FALSE
26;48,19;NiT0.;T;UKF E-Sports ;FALSE;Kolardo;CT;UCM Tedi Echo;FALSE;AK-47;FALSE;FALSE;FALSE
26;56,17;Skalw0;CT;UCM Tedi Echo;FALSE;NiT0.;T;UKF E-Sports ;FALSE;M4A1-S;FALSE;FALSE;FALSE
26;57,3;zuluuu;T;UKF E-Sports ;FALSE;Skalw0;CT;UCM Tedi Echo;FALSE;AK-47;FALSE;FALSE;TRUE
26;59,11;.Not1ce;CT;UCM Tedi Echo;FALSE;naboj1;T;UKF E-Sports ;FALSE;M4A1-S;FALSE;TRUE;FALSE
26;61,16;zuluuu;T;UKF E-Sports ;FALSE;.Not1ce;CT;UCM Tedi Echo;FALSE;AK-47;TRUE;FALSE;TRUE
26;85,28;s666s;CT;UCM Tedi Echo;FALSE;zuluuu;T;UKF E-Sports ;FALSE;M4A1-S;FALSE;FALSE;FALSE
26;99,47;Newstartik;T;UKF E-Sports ;FALSE;s666s;CT;UCM Tedi Echo;FALSE;AK-47;FALSE;FALSE;FALSE
26;106,47;Newstartik;T;UKF E-Sports ;FALSE;Addixx;CT;UCM Tedi Echo;FALSE;AK-47;FALSE;FALSE;FALSE
